city_name,postal_code,price_sqm,region,province,longitude,lattitude
Ixelles,1050.0,2882.5273197870124,Bruxelles,Bruxelles-Capitale,4.3815707,50.8222854
Izegem,8870.0,1578.5933801966394,Flandre,Flandre-Occidentale,3.2090654210557004,50.91382225
Izel,6810.0,1361.5820709554725,Wallonie,Luxembourg,5.3747807,49.693986
Jabbeke,8490.0,1921.704529477706,Flandre,Flandre-Occidentale,3.0902953889402003,51.1846386
Jalhay,4845.0,2235.2099057994915,Wallonie,Liège,5.9647526,50.5592528
Jallet,5354.0,1232.371794871795,Wallonie,Namur,5.1821601,50.44326210000001
Jamagne,5600.0,1169.7385231158898,Wallonie,Namur,4.531286,50.2180956
Jemappes,7012.0,934.9666584314618,Wallonie,Hainaut,3.8894392,50.448422
Jemeppe-Sur-Meuse,4101.0,1169.9836752788924,Wallonie,Liège,5.5049541,50.6168289
Jette,1090.0,2340.4516839301587,Bruxelles,Bruxelles-Capitale,4.3260903,50.8777634
Jumet,6040.0,1000.9726370358813,Wallonie,Hainaut,4.4360232749854,50.44466065
Juprelle,4450.0,2020.658514941746,Wallonie,Liège,5.5290689,50.7106926
Juseret,6642.0,1474.0740740740741,Wallonie,Luxembourg,5.5493342000000005,49.8805193
Kaggevinne,3293.0,996.2962962962963,Flandre,Brabant flamand,5.029940492612201,50.9776976
Kalmthout,2920.0,2674.747474747475,Flandre,Anvers,4.4763255,51.3832723
Kanegem,8700.0,1900.9053410402105,Flandre,Flandre-Occidentale,3.4035567083156,51.021401
Kapellen,2962.676470588235,1992.5613665968028,Flandre,Anvers,4.4312318305558,51.332759
Kaprijke,9970.0,1924.2859932440344,Flandre,Flandre-Orientale,3.6219251372375,51.228952
Kaster,8572.0,1363.3879781420765,Flandre,Flandre-Occidentale,3.4976090001837004,50.8121917
Kasterlee,2460.0,2043.010653822619,Flandre,Anvers,4.967812,51.2407915
Keerbergen,3140.0,2077.2258114407805,Flandre,Brabant flamand,4.6265551,51.00492420000001
Kerksken,9451.0,1422.745508459794,Flandre,Flandre-Orientale,3.9792346670559,50.88457295
Kermt,3510.0,1841.4419762727516,Flandre,Limbourg,5.2509784643733,50.9524495
Kersbeek-Miskom,3472.0,1768.3126328262551,Flandre,Brabant flamand,5.0065116045983,50.8930932577
Kessel,2560.0,2052.461627064082,Flandre,Anvers,4.6393456001407,51.14453105
Kessel Lo,3010.0,2524.750138451848,Flandre,Brabant flamand,4.7307614946269005,50.88991545
Kester,1755.0,1971.4444586930756,Flandre,Brabant flamand,4.1212845,50.7631284
Kinrooi,3640.0,1430.7123988129485,Flandre,Limbourg,5.741456460698498,51.14313325
Klemskerke,8420.0,2265.2237403143613,Flandre,Flandre-Occidentale,3.0238828,51.242521
Knesselare,9910.0,2304.7174654667283,Flandre,Flandre-Orientale,3.412339,51.1392692
Knokke,8300.0,3446.339963238188,Flandre,Flandre-Occidentale,3.3233738606453,51.34942965
Koekelare,8680.0,1742.2261030976122,Flandre,Flandre-Occidentale,2.9682187344976003,51.0911765
Koekelberg,1081.0,1725.2076967719045,Bruxelles,Bruxelles-Capitale,4.3257084,50.8622633
Koersel,3582.0,1810.5211739193458,Flandre,Limbourg,5.271159654589,51.06978945
Koolskamp,8851.0,1765.668791137178,Flandre,Flandre-Occidentale,3.2016142835313,51.00752720000001
