city_name,postal_code,price_sqm,region,province,longitude,lattitude
Heusy,4802.0,2343.234372561292,Wallonie,Liège,5.867539,50.57804
Heverlee,3001.0,5108.401331927514,Flandre,Brabant flamand,4.693130751028098,50.85172925
Heyd,6941.0,1374.9916666666668,Wallonie,Luxembourg,5.562158,50.346445
Hoboken,2660.0,2369.2053147410156,Flandre,Anvers,4.3511502171395,51.1757824
Hodeige,4351.0,1564.8148148148148,Wallonie,Liège,5.342657900000002,50.6960127
Hoegaarden,3320.0,2871.7662810371667,Flandre,Brabant flamand,4.881141936140001,50.7877912
Hoeilaart,1560.0,2763.104835167171,Flandre,Brabant flamand,4.474407,50.7674846
Hoevenen,2940.0,2507.4966161595294,Flandre,Anvers,4.4046996,51.30661679999999
Hombeek,2811.0,2690.0,Flandre,Anvers,4.4211910518318,51.01166405
Hombourg,4852.0,1730.4347826086957,Wallonie,Liège,5.9207511,50.723243
Hooglede,8830.0,3194.291979103323,Flandre,Flandre-Occidentale,3.0687215849639,50.98218015
Hoogstraten,2320.0,3011.330214483639,Flandre,Anvers,4.744065641418599,51.39574085
Hornu,7301.0,1337.0731946624803,Wallonie,Hainaut,3.8276077000000006,50.43376129999999
Horrues,7060.0,1983.9675029602947,Wallonie,Hainaut,4.0413076,50.6093445
Houdeng-Aimeries,7110.0,1287.2521167557932,Wallonie,Hainaut,4.1524459,50.4835958
Housse,4671.0,2159.054187192118,Wallonie,Liège,5.693985,50.6796259
Houthalen-Helchteren,3530.0,2136.8733167380815,Flandre,Limbourg,5.3713044000000005,51.0281818
Houthulst,8650.0,2375.0,Flandre,Flandre-Occidentale,2.9438110508216,50.97407785
Houtvenne,2235.0,2355.180235654696,Flandre,Anvers,4.8012932645531,51.04605145
Hove,2540.0,3068.2398118145566,Flandre,Anvers,4.477387,51.1486117
Huccorgne,4520.0,1893.1556191402485,Wallonie,Liège,5.1647622,50.56759
Humain,6900.0,2113.866886212266,Wallonie,Luxembourg,5.2552435,50.2053202
Humbeek,1851.0,2082.4045731627557,Flandre,Brabant flamand,4.3777599282045,50.9728229
Hyon,7022.0,2275.168565449895,Wallonie,Hainaut,3.9619447,50.4392359
Hélécine,1357.0,1833.3333333333333,Wallonie,Brabant wallon,4.9822395,50.7514034
Incourt,1315.0,2115.3846153846152,Wallonie,Brabant wallon,4.7989440000000005,50.6918004
Ingelmunster,8770.0,2702.7113196731084,Flandre,Flandre-Occidentale,3.2617189739329,50.92196635
Ingooigem,8570.0,2481.167138849175,Flandre,Flandre-Occidentale,3.4271837357677994,50.8297876
Itterbeek,1701.0,2427.6315789473683,Flandre,Brabant flamand,4.250118700000002,50.8395994
Ittre,1460.0,2568.6619718309857,Wallonie,Brabant wallon,4.2611675641255,50.646336700000006
Ixelles,1050.0,4108.033907105808,Bruxelles,Bruxelles-Capitale,4.3815707,50.8222854
Izegem,8870.0,2898.7111756416916,Flandre,Flandre-Occidentale,3.2090654210557004,50.91382225
Jabbeke,8490.0,3286.1374276761503,Flandre,Flandre-Occidentale,3.0902953889402003,51.1846386
Jalhay,4845.0,2445.9647495361783,Wallonie,Liège,5.9647526,50.5592528
Jemappes,7012.0,706.5217391304348,Wallonie,Hainaut,3.8894392,50.448422
Jemeppe-Sur-Meuse,4101.0,1794.688401454313,Wallonie,Liège,5.5049541,50.6168289
Jette,1090.0,2572.2810432339825,Bruxelles,Bruxelles-Capitale,4.3260903,50.8777634
Jumet,6040.0,1490.434249580591,Wallonie,Hainaut,4.4360232749854,50.44466065
Kanegem,8700.0,3030.755628601767,Flandre,Flandre-Occidentale,3.4035567083156,51.021401
Kapellen,2950.0,2915.4816477282175,Flandre,Anvers,4.4312318305558,51.332759
Kasterlee,2460.0,2539.300199762424,Flandre,Anvers,4.967812,51.2407915
Keerbergen,3140.0,3029.1422694478956,Flandre,Brabant flamand,4.6265551,51.00492420000001
Kerksken,9451.0,2069.8319645077986,Flandre,Flandre-Orientale,3.9792346670559,50.88457295
Kermt,3510.0,1213.869463869464,Flandre,Limbourg,5.2509784643733,50.9524495
Kessel,2560.0,2775.803125651912,Flandre,Anvers,4.6393456001407,51.14453105
Kessel Lo,3010.0,3124.645175061843,Flandre,Brabant flamand,4.7307614946269005,50.88991545
Kester,1755.0,2870.0136362038,Flandre,Brabant flamand,4.1212845,50.7631284
Kettenis,4701.0,2515.498987854251,Wallonie,Liège,6.0458005,50.64613170000001
Kinrooi,3640.0,1684.6364086272665,Flandre,Limbourg,5.741456460698498,51.14313325
Klemskerke,8420.0,3460.128987331424,Flandre,Flandre-Occidentale,3.0238828,51.242521
Knesselare,9910.0,2311.019751432808,Flandre,Flandre-Orientale,3.412339,51.1392692
Knokke,8300.0,6363.917694600006,Flandre,Flandre-Occidentale,3.3233738606453,51.34942965
Koekelare,8680.0,1705.3135558737981,Flandre,Flandre-Occidentale,2.9682187344976003,51.0911765
Koekelberg,1081.0,2502.5701254714563,Bruxelles,Bruxelles-Capitale,4.3257084,50.8622633
Koersel,3582.0,1685.2388787803911,Flandre,Limbourg,5.271159654589,51.06978945
Koolskamp,8851.0,2164.9484536082473,Flandre,Flandre-Occidentale,3.2016142835313,51.00752720000001
Korbeek-Lo,3360.0,3896.7825070305917,Flandre,Brabant flamand,4.7561775068454,50.86176115
Kortenberg,3070.0,3119.705866581232,Flandre,Brabant flamand,4.536470703962401,50.88326665
Kortessem,3720.0,2412.8326989488173,Flandre,Limbourg,5.377000028782098,50.86195255
Kortrijk,8500.0,2869.170526125634,Flandre,Flandre-Occidentale,3.2784153903743,50.81788085
Kraainem,1950.0,4036.8736697594695,Flandre,Brabant flamand,4.4691371,50.8606105
Kruishoutem,9770.0,2533.07726275405,Flandre,Flandre-Orientale,3.5404462768494,50.9200896
Kuurne,8520.0,2300.730418506182,Flandre,Flandre-Occidentale,3.2736322150643,50.86005145
